Term,Status,Section,Title,Dates,Location,InstructionalMethods,Meetings,Instructors,Availability,Credits,Comments
Spring 2026,Open,CHEM-101-004,Gen. Inorganic Chemistry,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 9:30-10:45 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 205 (LEC)",Mr. Wei Xie,1 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,CHEM-101-005,Gen. Inorganic Chemistry,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 11:00 AM-12:15 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 205 (LEC)",Mr. Wei Xie,5 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,CHEM-101-006,Gen. Inorganic Chemistry,1/26/2026-5/16/2026,Main Campus,Lecture,"M 6:30-9:20 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 205 (LEC)",Mr. Joseph C. Sparenberg,5 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,CHEM-101L-001,Gen Inorganic Chem Lab,1/26/2026-5/16/2026,Main Campus,Lab,"F 9:00-11:50 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 352 (LAB)",Pamela McCarville,5 / 24 / 0,0.00000 Credits,...
Spring 2026,Open,CHEM-101L-002,Gen Inorganic Chem Lab,1/26/2026-5/16/2026,Main Campus,Lab,"M 2:00-4:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 352 (LAB)","Ms. Alaa M. Mohamed 
                            
                        
                            
                            
                            Ms. Rachel T. Ortiz",1 / 24 / 0,0.00000 Credits,...
Spring 2026,Open,CHEM-101L-003,Gen Inorganic Chem Lab,1/26/2026-5/16/2026,Main Campus,Lab,"M 11:00 AM-1:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 352 (LAB)",Dr. Maria M. Escallon,5 / 24 / 0,0.00000 Credits,...
Spring 2026,Open,CHEM-101L-004,Gen Inorganic Chem Lab,1/26/2026-5/16/2026,Main Campus,Lab,"T 2:00-4:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 352 (LAB)",Mr. Wei Xie,1 / 24 / 0,0.00000 Credits,...
Spring 2026,Open,CHEM-101L-005,Gen Inorganic Chem Lab,1/26/2026-5/16/2026,Main Campus,Lab,"Th 2:00-4:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 352 (LAB)",Mr. Wei Xie,5 / 24 / 0,0.00000 Credits,...
Spring 2026,Open,CHEM-101L-006,Gen Inorganic Chem Lab,1/26/2026-5/16/2026,Main Campus,Lab,"W 6:30-9:20 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 352 (LAB)","Ms. Alaa M. Mohamed 
                            
                        
                            
                            
                            Ms. Rachel T. Ortiz",5 / 24 / 0,0.00000 Credits,...
Spring 2026,Open,CHEM-102-002,Genl Inorganic Chemistry,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 11:00 AM-12:15 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 209 (LEC)",Dr. Roberta A. Brown,2 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,CHEM-102-003,Genl Inorganic Chemistry,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 12:30-1:45 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 209 (LEC)",Dr. Roberta A. Brown,1 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,CHEM-102-004,Genl Inorganic Chemistry,1/26/2026-5/16/2026,Main Campus,Lecture,"Th 6:30-9:20 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 209 (LEC)",Dr. Maria M. Escallon,3 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,CHEM-102L-002,Gen Inorganic Chem II Lab,1/26/2026-5/16/2026,Main Campus,Lab,"T 2:00-4:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 350 (LAB)",Dr. Roberta A. Brown,2 / 24 / 0,0.00000 Credits,...
Spring 2026,Open,CHEM-102L-003,Gen Inorganic Chem II Lab,1/26/2026-5/16/2026,Main Campus,Lab,"Th 2:00-4:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 350 (LAB)",Dr. Roberta A. Brown,1 / 24 / 0,0.00000 Credits,...
Spring 2026,Open,CHEM-102L-004,Gen Inorganic Chem II Lab,1/26/2026-5/16/2026,Main Campus,Lab,"T 6:30-9:20 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 350 (LAB)","Ms. Alaa M. Mohamed 
                            
                        
                            
                            
                            Dr. Roberta A. Brown",3 / 24 / 0,0.00000 Credits,...
Spring 2026,Open,CHEM-103-001,Fund. of General Chem.,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 9:30-10:45 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 209 (LEC)",Mr. Joseph C. Sparenberg,4 / 24 / 0,4.00000 Credits,...
Spring 2026,Closed,CHEM-103-002,Fund. of General Chem.,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 9:30-10:45 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 209 (LEC)",Ms. Raluca Milinichik,0 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,CHEM-103-003,Fund. of General Chem.,1/26/2026-5/16/2026,Main Campus,Lecture,"M 6:30-9:20 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 209 (LEC)",Shelby L. Hollenbeck,3 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,CHEM-103-004,Fund. of General Chem.,1/26/2026-5/16/2026,Main Campus,Lecture,"T 6:30-9:20 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 205 (LEC)",Ms. Raluca Milinichik,5 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,CHEM-103-005,Fund. of General Chem.,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 11:00 AM-12:15 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KHH 114 (LEC)",Henderika van Huizen,5 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,CHEM-103-600,Fund. of General Chem.,1/26/2026-5/16/2026,Online,Online,"1/26/2026 - 5/16/2026
                        
                             (ONL)",Henderika van Huizen,7 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,CHEM-103-601,Fund. of General Chem.,1/26/2026-5/16/2026,Online,Online,"1/26/2026 - 5/16/2026
                        
                             (ONL)",Mr. Joseph C. Sparenberg,8 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,CHEM-103-602,Fund. of General Chem.,1/26/2026-5/16/2026,Online,Online,"1/26/2026 - 5/16/2026
                        
                             (ONL)",Ms. Raluca Milinichik,10 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,CHEM-103-603,Fund. of General Chem.,1/26/2026-5/16/2026,Online,Online,"1/26/2026 - 5/16/2026
                        
                             (ONL)",Dr. Maria M. Escallon,5 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,CHEM-103-604,Fund of Gen Chem,1/26/2026-5/16/2026,Online,Online,"1/26/2026 - 5/16/2026
                        
                             (ONL)",Ms. Raluca Milinichik,5 / 24 / 0,4.00000 Credits,...
Spring 2026,Open,CHEM-103L-001,Fund of General Chem Lab,1/26/2026-5/16/2026,Main Campus,Lab,"W 11:00 AM-1:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 353 (LAB)",Mr. Daniel Carpenito,4 / 24 / 0,0.00000 Credits,...
Spring 2026,Closed,CHEM-103L-002,Fund of General Chem Lab,1/26/2026-5/16/2026,Main Campus,Lab,"Th 11:00 AM-1:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            TCH 353 (LAB)",Mr. Daniel Carpenito,0 / 24 / 0,0.00000 Credits,...
Spring 2026,Open,CHEM-103L-003,Fund of General Chem Lab,1/26/2026-5/16/2026,Main Campus,Lab,"T 6:30-9:20 PM
1/26/2026 - 5/16/2026
TCH 353 (LAB)",Shelby L. Hollenbeck,3 / 24 / 0,0.00000 Credits,
Spring 2026,Open,CHEM-103L-004,Fund of General Chem Lab,1/26/2026-5/16/2026,Main Campus,Lab,"W 6:30-9:20 PM
1/26/2026 - 5/16/2026
TCH 353 (LAB)",Mr. Joseph C. Sparenberg,5 / 24 / 0,0.00000 Credits,
Spring 2026,Open,CHEM-103L-005,Fund of General Chem Lab,1/26/2026-5/16/2026,Main Campus,Lab,"T 2:00-4:50 PM
1/26/2026 - 5/16/2026
TCH 353 (LAB)",Ms. Rachel T. Ortiz,6 / 24 / 0,0.00000 Credits,
Spring 2026,Open,CHEM-103L-600,Fund of General Chem Lab,1/26/2026-5/16/2026,Main Campus,Lab,"Th 8:00-10:50 AM
1/26/2026 - 5/16/2026
TCH 353 (LAB)",Mr. Daniel Carpenito,7 / 24 / 0,0.00000 Credits,
Spring 2026,Open,CHEM-103L-601,Fund of General Chem Lab,1/26/2026-5/16/2026,Main Campus,Lab,"W 8:00-10:50 AM
1/26/2026 - 5/16/2026
TCH 353 (LAB)",Mr. Daniel Carpenito,8 / 24 / 0,0.00000 Credits,
Spring 2026,Open,CHEM-103L-602,Fund of General Chem Lab,1/26/2026-5/16/2026,Main Campus,Lab,"M 6:30-9:20 PM
1/26/2026 - 5/16/2026
TCH 353 (LAB)",Ms. Rachel T. Ortiz,10 / 24 / 0,0.00000 Credits,
Spring 2026,Open,CHEM-103L-603,Fund of General Chem Lab,1/26/2026-5/16/2026,Main Campus,Lab,"T 11:00 AM-1:50 PM
1/26/2026 - 5/16/2026
TCH 353 (LAB)",Ms. Rachel T. Ortiz,6 / 24 / 0,0.00000 Credits,
Spring 2026,Open,CHEM-103L-604,Fund of Gen Chem Lab,1/26/2026-5/16/2026,Main Campus,Lab,"T 8:00-10:50 AM
1/26/2026 - 5/16/2026
TCH 353 (LAB)",Mr. Daniel Carpenito,5 / 24 / 0,0.00000 Credits,
